symbol,sector,industry,longName,volume,profitMargins,sharesOutstanding,regularMarketPreviousClose,trailingPE,priceToBook
0521.HK,Basic Materials,Other Industrial Metals & Mining,CWT International Limited,30000,-0.00403,,0.132,,0.3324937
0522.HK,Technology,Semiconductor Equipment & Materials,ASM Pacific Technology Limited,52400,0.037890002,406671008,107.7,19.707497,3.7416265
0524.HK,Communication Services,Telecom Services,Great Wall Belt & Road Holdings Limited,20000,-2.89236,1050280000,0.175,,2.0229886
0525.HK,Industrials,Railroads,Guangshen Railway Company Limited,150000,0.03332,1431299968,2.44,19.48166,3.9165328
0526.HK,Consumer Cyclical,Auto & Truck Dealerships,China Automobile New Retail (Holdings) Limited,102000,0.05579,8044020224,0.68,20.881313,15.111111
0527.HK,Utilities,Utilities—Independent Power Producers,China Ruifeng Renewable Energy Holdings Limited,8000,-0.29154,1799139968,0.3,,5.084746
0528.HK,Consumer Cyclical,Textile Manufacturing,Kingdom Holdings Limited,104000,0.113929994,611288000,1.64,8.266086,6.225681
0529.HK,Technology,Electronics & Computer Distribution,SiS International Holdings Limited,70000,0.04492,277967008,3.07,3.015717,0.2321361
0530.HK,Consumer Defensive,Beverages—Wineries & Distilleries,Goldin Financial Holdings Limited,1296000,10.35549,6990649856,1.8,10.120759,0.6351498
0531.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Samson Holding Ltd.,4000,0.026600001,3107470080,0.415,9.29368,3.4873948
0532.HK,Technology,Electronic Components,Wong's Kong King International (Holdings) Limited,4000,0.013780001,729448000,0.66,5.8771152,0.30372757
0533.HK,Consumer Cyclical,Apparel Manufacturing,Goldlion Holdings Limited,621000,0.22426,982113984,2.39,6.23858,0.5622207
0535.HK,Real Estate,Real Estate—Diversified,Gemdale Properties and Investment Corporation Limited,7419520,0.33421,15874700288,0.93,5.9418073,9.599999
0536.HK,Technology,Software—Application,Tradelink Electronic Commerce Limited,562000,0.31546,794633984,1.14,10.088495,2.5968108
0538.HK,Consumer Cyclical,Restaurants,Ajisen (China) Holdings Limited,277000,0.21090001,1091539968,2.19,3.7941334,5.4545455
0539.HK,Consumer Cyclical,Textile Manufacturing,Victory City International Holdings Limited,796000,0.06692,776912000,0.35,0.5992844,0.037338387
0540.HK,Consumer Cyclical,Apparel Manufacturing,Speedy Global Holdings Limited,44000,0.026010001,600000000,0.255,,0.52469134
0542.HK,,,TFG International Group Limited,18048000,,,0.226,,
0543.HK,Technology,Software—Infrastructure,Pacific Online Limited,39000,0.14588,1134060032,1.8,13.237251,14.354838
0544.HK,Industrials,Specialty Business Services,Daido Group Limited,180000,-0.14777,2432300032,0.035,,0.56249994
0546.HK,Basic Materials,Specialty Chemicals,Fufeng Group Limited,130000,0.14421,2543330048,3.43,4.145877,6
0547.HK,Communication Services,Entertainment,Digital Domain Holdings Limited,7560000,-0.83662003,34061099008,0.065,,1.3265306
0548.HK,Industrials,Infrastructure Operations,Shenzhen Expressway Company Limited,1324000,0.69549006,747500032,10.56,5.947965,
0550.HK,Communication Services,Advertising Agencies,KK Culture Holdings Limited,328000,-0.54854,446614016,0.99,,2.5984251
0551.HK,Consumer Cyclical,Footwear & Accessories,Yue Yuen Industrial (Holdings) Limited,91347,0.03299,1612179968,22.15,15.075281,8.822363
0552.HK,Communication Services,Telecom Services,China Communications Services Corporation Limited,9742000,0.02708,2391419904,5.17,10.815954,7.577092
0553.HK,Technology,Communication Equipment,Nanjing Panda Electronics Company Limited,2346000,0.02776,242000000,4.37,21.56027,7.740214
0554.HK,Energy,Oil & Gas Equipment & Services,Hans Energy Company Limited,94000,8.071939,3732640000,0.27,,0.97826093
0555.HK,Consumer Cyclical,Gambling,REXLot Holdings Limited,250000,-2.58352,15042700288,0.021,,0.06748466
0556.HK,Industrials,Pollution & Treatment Controls,Pan Asia Environmental Protection Group Limited,30000,-0.082320005,840000000,0.86,,
0557.HK,Consumer Cyclical,Lodging,China Tian Yuan Healthcare Group Limited,50000,-0.17361,398980000,0.69,,0.5743243
0558.HK,Industrials,Specialty Industrial Machinery,L.K. Technology Holdings Limited,140000,0.03295,1191270016,0.48,2.96875,0.2840909
0559.HK,Consumer Cyclical,Lodging,DeTai New Energy Group Limited,100000,-2.46485,15695500288,0.021,6.3636365,0.3181818
0560.HK,Industrials,Marine Shipping,Chu Kong Shipping Enterprises (Group) Company Limited,52000,0.07959,1121170048,1.26,6.240786,0.45601434
0563.HK,Real Estate,Real Estate—Development,Shanghai Industrial Urban Development Group Limited,852000,0.08128,4806320128,0.94,8.837209,0.3468419
0564.HK,Industrials,Specialty Industrial Machinery,Zhengzhou Coal Mining Machinery Group Company Limited,18600,0.0468,243234000,4.12,,4.0259743
0565.HK,Real Estate,Real Estate Services,Art Group Holdings Limited,25000,0.26402,2688809984,0.275,13.221154,0.49909258
0567.HK,Technology,Electronic Components,Daisho Microline Holdings Limited,20000,0.02201,576243968,0.128,,0.45878136
0568.HK,Energy,Oil & Gas Equipment & Services,Shandong Molong Petroleum Machinery Company Limited,4000,-0.00445,256126000,0.94,6.9529834,2.5537634
0570.HK,Healthcare,Drug Manufacturers—Specialty & Generic,China Traditional Chinese Medicine Holdings Co. Limited,680000,0.12076,5035800064,3.46,10.242584,7.61488
0571.HK,Industrials,Conglomerates,eSun Holdings Limited,34000,-0.02674,1491849984,1.05,,0.17707822
0572.HK,Financial Services,Capital Markets,Future World Financial Holdings Limited,4156002,-0.81176,12480300032,0.038,,0.44444442
0573.HK,Consumer Cyclical,Restaurants,Tao Heung Holdings Limited,150000,0.03355,1016609984,1.27,11.004367,0.7835821
0574.HK,Healthcare,Pharmaceutical Retailers,Pa Shun International Holdings Limited,120000,-0.073410004,1474989952,0.106,,0.96330273
0575.HK,Financial Services,Asset Management,Regent Pacific Group Limited,740000,0.0,1837250048,0.118,,2.1071427
0576.HK,Industrials,Infrastructure Operations,"Zhejiang Expressway Co., Ltd.",4753927,0.38709998,1433849984,6.86,7.6714516,9.079118
0577.HK,Industrials,Engineering & Construction,South Shore Holdings Limited,207,-0.58583,1012950016,0.102,,
0578.HK,Energy,Thermal Coal,Rosan Resources Holdings Limited,260000,-0.19172001,1040169984,0.042,,
0579.HK,Utilities,Utilities—Renewable,"Beijing Jingneng Clean Energy Co., Limited",520000,0.1259,2829680128,1.34,4.432712,3.5449736
0580.HK,Industrials,Electrical Equipment & Parts,Sun.King Power Electronics Group Limited,28000,0.16124001,1599559936,0.99,,7.142857
0581.HK,Basic Materials,Steel,China Oriental Group Company Limited,3000000,0.08644,3722569984,3.05,2.0448308,4.6003017
0582.HK,Consumer Cyclical,Resorts & Casinos,Landing International Development Limited,2005900,-2.61921,2934899968,0.9,,0.20773481
0583.HK,Real Estate,Real Estate Services,Great Wall Pan Asia Holdings Limited,330000,1.1732,1567750016,0.8,2.2031164,0.43432203
0585.HK,Communication Services,Entertainment,Imagi International Holdings Limited,600,-1.34244,691921984,0.96,,1.0526315
0586.HK,Industrials,Pollution & Treatment Controls,China Conch Venture Holdings Limited,1524000,1.65051,1804749952,31.05,,16.728724
0588.HK,Real Estate,Real Estate—Development,Beijing North Star Company Limited,1176000,0.07628,707020032,2.43,5.120446,3.9576547
0590.HK,Consumer Cyclical,Luxury Goods,Luk Fook Holdings (International) Limited,61000,0.09252,587107968,20.2,7.8937006,1.1419946
0592.HK,Consumer Cyclical,Apparel Retail,Bossini International Holdings Limited,9000,-0.084759995,1641330048,0.196,,0.4600939
0593.HK,,,DreamEast Group Limited,2000,,,4.5,7.4294205,
0595.HK,Technology,Electronics & Computer Distribution,AV Concept Holdings Limited,120000,0.033800002,908662976,0.27,4.206349,0.21251002
0596.HK,Technology,Software—Application,Inspur International Limited,104000,0.11101,1138919936,3.22,11.103473,1.710805
0598.HK,Industrials,Integrated Freight & Logistics,Sinotrans Limited,1061568,0.03724,2144889984,2.46,4.7621837,4.4688644
0599.HK,Consumer Cyclical,Home Improvement Retail,E. Bon Holdings Limited,8000,0.02111,600600000,0.375,14.940239,0.4863813
0600.HK,Energy,Oil & Gas Equipment & Services,China Infrastructure Investment Limited,360000,-0.37385,4269910016,0.037,29.999998,0.19780219
0601.HK,,,Rare Earth Magnesium Technology Group Holdings Limited,4910000,,,0.29,,
0602.HK,Consumer Cyclical,Department Stores,Jiahua Stores Holdings Limited,30000,0.02116,1037500032,0.242,9.035709,2.840909
0603.HK,Energy,Oil & Gas Refining & Marketing,China Oil And Gas Group Limited,860000,0.02802,5817939968,0.28,5.0308914,0.43247345
0604.HK,Real Estate,Real Estate—Development,Shenzhen Investment Limited,1143636,0.37412998,8833439744,3.17,7.56022,0.6514591
0605.HK,Financial Services,Credit Services,China Financial Services Holdings Limited,1016000,0.29108998,4256090112,0.44,7.074722,0.49116996
0606.HK,Consumer Defensive,Farm Products,China Agri-Industries Holdings Limited,2896988,0.00868,5258990080,4.12,16.087465,0.7411405
0607.HK,Real Estate,Real Estate—Development,Fullshare Holdings Limited,65472500,-0.55234003,19705399296,0.179,,0.93684214
0608.HK,Consumer Cyclical,Apparel Manufacturing,High Fashion International Limited,12000,0.01857,305616000,1.92,13.714285,0.23154847
0609.HK,Basic Materials,Chemicals,Tiande Chemical Holdings Limited,1484000,-0.02805,851953984,0.53,,2.2844827
0610.HK,Industrials,Engineering & Construction,Wai Kee Holdings Limited,70000,0.17621,793123968,4.74,3.0987947,0.4685952
0611.HK,Industrials,Engineering & Construction,China Nuclear Energy Technology Corporation Limited,27984,0.04516,1313100032,0.315,4.6176043,0.4719764
0612.HK,Financial Services,Asset Management,China Ding Yi Feng Holdings Limited,1733000,-1.1743699,,23.1,,168.61314
0613.HK,Real Estate,Real Estate Services,Planetree International Development Limited,9330000,1.05282,9305280512,0.127,7.3563223,0.71508384
0616.HK,Real Estate,Real Estate Services,Eminence Enterprise Limited,1480000,1.06542,3725829888,0.026,,0.033377837
0617.HK,Consumer Cyclical,Lodging,Paliburg Holdings Limited,250,0.05209,1114599936,2.66,12.229885,0.18811882
0618.HK,Industrials,Conglomerates,Peking University Resources (Holdings) Company Limited,56000,0.02404,6416159744,0.211,,4.057692
0619.HK,Financial Services,Capital Markets,South China Financial Holdings Limited,16000,-0.56473,301276992,0.355,,0.115310706
0620.HK,Consumer Cyclical,Internet Retail,DTXS Silk Road Investment Holdings Company Limited,92000,-0.51018,667459008,5.73,,4.793597
0621.HK,Basic Materials,Gold,Taung Gold International Limited,20840000,0.0,18151499776,0.035,1.1409397,0.18784532
0622.HK,Financial Services,Capital Markets,Oshidori International Holdings Limited,159000,0.34761003,5811769856,1.02,204,0.9272727
0623.HK,Communication Services,Advertising Agencies,SinoMedia Holding Limited,146000,-0.03891,490087008,1.3,7.047866,2.795699
0626.HK,Financial Services,Banks—Regional,Public Financial Holdings Limited,86000,0.35415,1097920000,3.12,6.6666665,0.42835426
0627.HK,,,"Fullsun International Holdings Group Co., Limited",7535000,,,0.122,2.2911258,
0628.HK,Financial Services,Credit Services,"Gome Finance Technology Co., Ltd.",8000,-0.49473998,2701120000,0.65,1072.0563,6.2886596
0629.HK,Basic Materials,Other Industrial Metals & Mining,Yue Da International Holdings Limited,51000,-0.31247,1168630016,0.34,,7.0833335
0630.HK,Industrials,Engineering & Construction,AMCO United Holding Limited,100000,-0.45419,1862680064,0.098,,1.4626865
0631.HK,Industrials,Farm & Heavy Construction Machinery,Sany Heavy Equipment International Holdings Company Limited,787000,0.16263,3098490112,4.14,18.311962,13.627452
0632.HK,Energy,Oil & Gas E&P,Pearl Oriental Oil Limited,90000,-0.537,612275968,0.75,,1.0838151
0633.HK,Technology,Communication Equipment,China All Access (Holdings) Limited,458000,-0.40937,2311889920,0.184,,0.5791139
0635.HK,Consumer Cyclical,Leisure,Playmates Holdings Limited,96000,0.62678003,2118000000,1.08,4.2346544,0.33819422
0636.HK,Industrials,Integrated Freight & Logistics,Kerry Logistics Network Limited,76211,0.105749995,1715299968,11.84,11.140186,0.8981314
0637.HK,Basic Materials,Other Industrial Metals & Mining,Lee Kee Holdings Limited,34000,-0.04203,828750016,0.29,,0.2645503
0638.HK,Technology,Consumer Electronics,Kin Yat Holdings Limited,70000,0.03395,438960000,0.84,,0.30962032
0639.HK,Basic Materials,Coking Coal,Shougang Fushan Resources Group Limited,1417442,0.30067,5301839872,1.64,8.092485,0.5577689
0640.HK,Basic Materials,Specialty Chemicals,Infinity Development Holdings Company Limited,16000,0.06236,580774976,0.72,11.128284,1.1338583
0641.HK,Industrials,Specialty Industrial Machinery,CHTC Fong's International Company Limited,2000,-0.00778,1100220032,0.5,4.1341653,0.3984962
0643.HK,Consumer Cyclical,Apparel Manufacturing,Carry Wealth Holdings Limited,100000,-0.116730005,818041984,0.216,,1.1308901
0645.HK,Energy,Thermal Coal,Ares Asia Limited,32000,-0.00907,342116992,0.51,,24.285715
0646.HK,Industrials,Waste Management,China Environmental Technology  Holdings Limited,2392000,0.0,3650360064,0.03,,
0647.HK,Consumer Cyclical,Apparel Retail,Joyce Boutique Group Limited,560000,-0.06886,1624000000,0.146,,0.62660944
0650.HK,Energy,Oil & Gas E&P,IDG Energy Investment Limited,110000,-0.25861,6047799808,0.85,,1.575985
0651.HK,Industrials,Specialty Industrial Machinery,China Ocean Industry Group Limited,696500,0.0,340920992,0.193,,
0653.HK,Consumer Cyclical,Specialty Retail,Bonjour Holdings Limited,110000,-0.0454,3412570112,0.085,,0.50617284
0655.HK,Real Estate,Real Estate Services,Hongkong Chinese Limited,20,5.8470597,1998279936,0.89,182.00002,0.16783476
0656.HK,Industrials,Conglomerates,Fosun International Limited,979381,0.105399996,8537540096,10.52,5.8849792,5.9435034
0657.HK,Consumer Cyclical,Restaurants,G-Vision International (Holdings) Limited,952000,-0.19233999,1946310016,0.052,,1.4444445
0658.HK,Industrials,Specialty Industrial Machinery,"China High Speed Transmission Equipment Group Co., Ltd.",629000,0.02164,1635289984,4.8,33.34683,4.821429
0659.HK,Industrials,Engineering & Construction,NWS Holdings Limited,954704,0.15764,3911140096,10.48,Infinity,0.71389425
0660.HK,Basic Materials,Chemicals,Wai Chun Bio-Technology Limited,900000,-0.10339,16590699520,0.038,,
0661.HK,Basic Materials,Other Industrial Metals & Mining,China Daye Non-Ferrous Metals Mining Limited,50000,-0.00099,17895600128,0.048,,2.6315792
0662.HK,Financial Services,Insurance—Life,Asia Financial Holdings Limited,120000,0.29578,961686016,4.0,21.857924,0.40580297
0663.HK,Basic Materials,Silver,King Stone Energy Group Limited,453000,0.0,7010059776,0.085,,1.12987
0665.HK,Financial Services,Capital Markets,Haitong International Securities Group Limited,994000,0.28591,5940579840,2.2,12.109589,0.47876948
0666.HK,Financial Services,Asset Management,SHK Hong Kong Industries Limited,40000,0.0,4111699968,0.112,,0.42424244
0667.HK,Consumer Defensive,Education & Training Services,China East Education Holdings Limited,746000,0.16764,2184760064,15.42,,
0668.HK,Financial Services,Credit Services,Doyen International Holdings Limited,6000,3.0090399,1274040064,0.243,,0.42704627
0669.HK,Industrials,Tools & Accessories,Techtronic Industries Company Limited,1003377,0.079619996,1829980032,60.0,25.309662,34.367817
0670.HK,Industrials,Airlines,China Eastern Airlines Corporation Limited,6363000,0.021470001,5176779776,3.83,18.073904,6.4309216
0672.HK,Real Estate,Real Estate—Diversified,Zhong An Group Limited,243400,0.08027001,5723189760,0.237,4.0751796,1.1836735
0673.HK,Healthcare,Medical Distribution,China Health Group Limited,759000,-0.45743,4139950080,0.137,,4.6
0674.HK,Real Estate,Real Estate Services,China Tangshang Holdings Limited,172000,-0.44962,1077779968,0.176,,1.6
0675.HK,Technology,Electronic Components,K & P International Holdings Limited,4000,0.00557,267004992,0.495,107.608696,0.47872338
0676.HK,Consumer Cyclical,Footwear & Accessories,Pegasus International Holdings Limited,2000,-1.57698,730649984,0.77,55.193176,9.746835
0677.HK,Consumer Defensive,Food Distribution,Golden Resources Development International Limited,442000,0.02404,1697410048,0.57,193.33333,0.7743658
0678.HK,Consumer Cyclical,Leisure,Genting Hong Kong Limited,1389000,-0.08116,8482489856,0.7,,1.4893616
0679.HK,Industrials,Specialty Industrial Machinery,Asia Tele-Net and Technology Corporation Limited,3000,0.34912,426463008,1.46,21.470587,0.45006168
0680.HK,Communication Services,Entertainment,Nan Hai Corporation Limited,2257560,0.017970001,68645498880,0.106,30.285713,1.2926829
0681.HK,Energy,Oil & Gas Midstream,Chinese People Holdings Company Limited,1092697,0.07667,8934559744,0.055,2.3286467,1.4722222
0682.HK,Consumer Defensive,Farm Products,Chaoda Modern Agriculture (Holdings) Limited,23222597,-0.65771,3295579904,0.053,,3.8000002
0683.HK,Real Estate,Real Estate—Development,Kerry Properties Limited,1014094,0.32147,1456489984,25.0,4.8062015,0.3619434
0684.HK,Technology,Consumer Electronics,Allan International Holdings Limited,6000,-0.0061500003,335432992,1.59,18.928572,0.4456278
0685.HK,Communication Services,Publishing,Media Chinese International Limited,2497000,-0.04528,1687239936,0.37,,4.2929296
0686.HK,Technology,Solar,Panda Green Energy Group Limited,5154000,-0.1167,15251000320,0.18,,1.8695652
0687.HK,Industrials,Engineering & Construction,Tysan Holdings Limited,1738000,-0.65388,3366040064,1.55,14.003759,0.8254848
0688.HK,Real Estate,Real Estate—Development,China Overseas Land & Investment Limited,4519881,0.26728,10956199936,28.45,6.9634147,1.0344203
0689.HK,Energy,Oil & Gas E&P,EPI (Holdings) Limited,1050247,-1.65521,5240339968,0.071,,0.6826923
0690.HK,Healthcare,Biotechnology,Uni-Bio Science Group Limited,1849000,-0.17606,6410769920,0.155,,3.9024389
0691.HK,Basic Materials,Building Materials,China Shanshui Cement Group Limited,52000,0.12998,4353970176,2.56,3.5839145,12.222222
0693.HK,Consumer Cyclical,Auto & Truck Dealerships,Tan Chong International Limited,15000,0.02362,2013309952,2.09,6.966666,0.37793848
0694.HK,Industrials,Airports & Air Services,Beijing Capital International Airport Company Limited,1534000,0.23632999,1879360000,7.24,9.581144,9.207161
0695.HK,Basic Materials,Building Materials,Dongwu Cement International Limited,124000,0.17018,552000000,1.59,,13.050847
0696.HK,Technology,Information Technology Services,TravelSky Technology Limited,493000,0.30798998,932561984,19.16,21.211926,22.90516
0697.HK,Basic Materials,Steel,Shougang Concord International Enterprises Company Limited,968000,0.37865,27428900864,0.345,20.0,1.0174417
0698.HK,Technology,Electronic Components,Tongda Group Holdings Limited,13630000,0.050780002,6479499776,0.62,7.305936,0.64777327
0699.HK,Industrials,Rental & Leasing Services,CAR Inc.,7000,0.03612,2119650048,5.8,,10.2313175
0700.HK,Communication Services,Internet Content & Information,Tencent Holdings Limited,1523680,0.24117,9552270336,336.8,35.50594,66.69304
0701.HK,Basic Materials,Specialty Chemicals,CNT Group Limited,1,0.44834,1903689984,0.39,,0.3884462
0702.HK,Energy,Oil & Gas E&P,Sino Oil and Gas Holdings Limited,46000,-1.03811,3345440000,0.106,,0.119019836
0703.HK,Consumer Cyclical,Restaurants,Future Bright Holdings Limited,6000,-0.09927,694302016,0.29,,0.21837349
0704.HK,Energy,Thermal Coal,Huscoke Holdings Limited,184890,0.0892,2786459904,0.101,,0.4901961
0706.HK,Basic Materials,Agricultural Inputs,Beautiful China Holdings Company Limited,2340000,-2.45497,9264440320,0.017,,0.34
0707.HK,Consumer Cyclical,Textile Manufacturing,Asia Television Holdings Limited,165696000,0.0,7425670144,0.095,,3.4642856
0708.HK,Healthcare,Medical Care Facilities,Evergrande Health Industry Group Limited,55000,-0.6802,8640000000,7.85,,441.6667
0709.HK,Consumer Cyclical,Apparel Retail,Giordano International Limited,222000,0.07455,1577929984,2.36,7.7049174,1.3766842
0710.HK,Technology,Electronic Components,BOE Varitronix Limited,40000,0.0043200003,735174976,2.32,99.13043,0.6054169
0711.HK,Industrials,Engineering & Construction,Asia Allied Infrastructure Holdings Limited,110000,0.01475,1846680064,0.71,9.497964,0.5251313
0712.HK,Technology,Solar,Comtec Solar Systems Group Limited,1000,-0.74143,628289984,0.11,,11
0713.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",World Houseware (Holdings) Limited,10000,1.3435401,764316992,0.41,,0.17380247
0715.HK,Real Estate,Real Estate Services,China Oceanwide Holdings Limited,10000,-0.82115,16142699520,0.28,,0.41471046
0716.HK,Industrials,Metal Fabrication,Singamas Container Holdings Limited,608000,0.01689,2416920064,0.87,3.7568786,3.6065574
0717.HK,Financial Services,Capital Markets,Emperor Capital Group Limited,162004,0.21505,6740850176,0.175,2.1840491,0.22166875
0718.HK,Financial Services,Capital Markets,Tai United Holdings Limited,1185000,-2.75526,5250019840,0.18,,0.45227274
0719.HK,Healthcare,Drug Manufacturers—Specialty & Generic,Shandong Xinhua Pharmaceutical Company Limited,66000,0.05243,195000000,3.68,8.145968,5.9170656
0720.HK,Consumer Cyclical,Auto & Truck Dealerships,Auto Italia Holdings Limited,12425010,-0.02755,5219539968,0.218,42.264153,2.382979
0721.HK,Financial Services,Asset Management,China Financial International Investments Limited,320000,0.0,10971599872,0.115,,1.1616162
0722.HK,Healthcare,Medical Care Facilities,UMP Healthcare Holdings Limited,100000,0.022449998,757817984,1.35,,1.6687268
0724.HK,Industrials,Electrical Equipment & Parts,Ruixin International Holdings Limited,250000,-0.27616,840174016,0.058,,1.5277778
0725.HK,Industrials,Electrical Equipment & Parts,Perennial International Limited,28000,0.01516,198958000,0.65,,0.22063814
0726.HK,Real Estate,Real Estate—Development,DIT Group Limited,100000,-0.0066500003,11209600000,0.132,,0.8333333
0727.HK,Real Estate,Real Estate Services,Crown International Corporation Limited,104000,0.62183,3430000128,0.222,3.496063,0.39856374
0728.HK,Communication Services,Telecom Services,China Telecom Corporation Limited,12834773,0.054840002,13877399552,3.01,10.235241,4.81717
0729.HK,Consumer Cyclical,Auto Parts,FDG Electric Vehicles Limited,861000,-2.49028,1669469952,0.3,,
0730.HK,Financial Services,Credit Services,Shougang Concord Grand (Group) Limited,227000,0.086739995,3984640000,0.141,,0.4017341
0731.HK,Basic Materials,Paper & Paper Products,Samson Paper Holdings Limited,30000,0.01856,1273139968,0.445,4.8369565,0.27934712
0732.HK,Technology,Consumer Electronics,Truly International Holdings Limited,574000,0.010570001,3289230080,1.02,43.220337,0.42570952
0733.HK,Real Estate,Real Estate Services,Hopefluent Group Holdings Limited,20000,0.04698,674150016,1.7,3.4693878,0.37585676
0736.HK,Financial Services,Credit Services,China Properties Investment Holdings Limited,1360800,-1.4305099,5343329792,0.031,,0.25619835
0737.HK,Industrials,Infrastructure Operations,Shenzhen Investment Holdings Bay Area Development Company Limited,110000,128.65318,3081690112,3.7,33.101974,14.645669
0738.HK,Consumer Cyclical,Footwear & Accessories,Le Saunda Holdings Limited,44000,-0.01946,705894976,0.62,,2.346154
0743.HK,Basic Materials,Building Materials,Asia Cement (China) Holdings Corporation,314500,0.24261999,1566850048,10.46,6.0484204,9.74359
0745.HK,Communication Services,Advertising Agencies,China National Culture Group Limited,60000,-0.68323,9814410240,0.013,0.8387097,0.5909091
0746.HK,Basic Materials,Chemicals,Lee & Man Chemical Company Limited,20000,0.20001,825000000,3.56,3.383743,0.78491557
0747.HK,Real Estate,Real Estate—Development,Shenyang Public Utility Holdings Company Limited,62000,0.0,605376000,0.226,,2.1730769
0750.HK,Technology,Solar,China Singyes Solar Technologies Holdings Limited,3227000,-0.54036,2521080064,0.86,,
0751.HK,Technology,Consumer Electronics,Skyworth Group Limited,518000,0.0139999995,3060930048,2.13,13.443587,0.34045285
0752.HK,Industrials,Specialty Business Services,Pico Far East Holdings Limited,180000,0.05539,1234969984,2.34,10.813267,1.5015774
0753.HK,Industrials,Airlines,Air China Limited,4068443,0.05228,4562679808,7.16,12.012229,6.841121
0754.HK,Real Estate,Real Estate—Development,Hopson Development Holdings Limited,326000,0.38307,2225560064,7.65,2.9576924,0.2538624
0755.HK,Real Estate,Real Estate—Development,Shanghai Zendai Property Limited,40000,-0.20791,14879399936,0.046,,0.32450333
0756.HK,Consumer Defensive,Beverages—Non-Alcoholic,Summi (Group) Holdings Limited,58480000,0.0,1347859968,0.214,,1.2690356
0757.HK,Technology,Solar,Solargiga Energy Holdings Limited,20000,-0.0738,3211780096,0.081,,2.025641
0758.HK,Basic Materials,Other Industrial Metals & Mining,Macrolink Capital Holdings Limited,54000,-0.24144,1206249984,0.435,,2.1891892
0759.HK,Consumer Defensive,Grocery Stores,CEC International Holdings Limited,20000,-0.0051700003,666190976,0.4,,0.63380283
0760.HK,Real Estate,Real Estate—Diversified,Talent Property Group Limited,15000,-0.099759996,10293099520,0.029,,1.0344827
0762.HK,Communication Services,Telecom Services,China Unicom (Hong Kong) Limited,13038352,0.03899,30598000640,6.86,18.12433,4.436482
0763.HK,Technology,Communication Equipment,ZTE Corporation,2446384,0.05234,755502976,22.2,,20.036264
0764.HK,Consumer Cyclical,Luxury Goods,Eternity Investment Limited,2480006,0.0,3819610112,0.152,1.6666666,0.23273273
0765.HK,Consumer Cyclical,Leisure,Perfectech International Holdings Limited,20000,-0.27631,326924000,0.86,,1.8984548
0766.HK,Financial Services,Credit Services,Sino Prosper (Group) Holdings Limited,15000,-0.116560005,1543820032,0.054,,0.25
0767.HK,,,Asia Pacific Silk Road Investment Company Limited,1000375,,,0.057,,
0768.HK,Financial Services,Asset Management,UBA Investments Limited,240000,0.0,1271730048,0.041,,0.39999998
0769.HK,Basic Materials,Other Industrial Metals & Mining,China Rare Earth Holdings Limited,2282000,0.02194,2341700096,0.385,,0.3491495
0770.HK,,,Shanghai International Shanghai Growth Investment Limited,19000,,,0.63,,
0771.HK,Technology,Information Technology Services,Automated Systems Holdings Limited,102904,0.02881,827313984,1.0,9.541985,0.61538464
0772.HK,Communication Services,Internet Content & Information,China Literature Limited,329285,0.13928,1012510016,30.3,,13.6404505
0775.HK,Healthcare,Biotechnology,"CK Life Sciences Int'l., (Holdings) Inc.",3034000,0.049790002,9611070464,0.78,28.467152,1.797235
0776.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Imperium Group Global Holdings Limited,457000,-0.24344999,287206016,1.47,,7.035176
0777.HK,Communication Services,Electronic Gaming & Multimedia,NetDragon Websoft Holdings Limited,117000,0.14615,530496000,18.56,15.949866,14.016579
0780.HK,Consumer Cyclical,Travel Services,Tongcheng-Elong Holdings Limited,1638000,0.0583,2121959936,12.3,,14.8258705
0784.HK,Industrials,Engineering & Construction,Ling Yui Holdings Limited,480000,-0.0068,800000000,2.1,,16.212122
0787.HK,Consumer Cyclical,Apparel Manufacturing,Global Brands Group Holding Limited,58600,-0.13892001,1028649984,0.58,,1.2164948
0788.HK,Communication Services,Telecom Services,China Tower Corporation Limited,26166717,0.060650002,46663000064,1.62,,10.7284775
0789.HK,Consumer Cyclical,Luxury Goods,Artini Holdings Limited,660000,0.086689994,5519840256,0.039,,1.3448277
0794.HK,Basic Materials,Paper & Paper Products,Come Sure Group (Holdings) Limited,46000,0.03938,349760000,0.6,5.1679587,0.33613446
0797.HK,Communication Services,Electronic Gaming & Multimedia,7Road Holdings Limited,774000,-1.12843,2619500032,2.68,,76
0798.HK,Real Estate,Real Estate Services,China Electronics Optics Valley Union Holding Company Limited,236000,0.17077999,7421349888,0.49,,4.285714
0799.HK,Communication Services,Electronic Gaming & Multimedia,IGG Inc,2126000,0.22558,1247879936,5.6,,22.196077
0800.HK,Industrials,Conglomerates,A8 New Media Group Limited,810000,-1.00554,2700890112,0.158,,1.9268293
0801.HK,Healthcare,Medical Instruments & Supplies,Golden Meditech Holdings Limited,48403,-1.7363901,2916930048,0.79,,0.56187767
0802.HK,Technology,Software—Application,China e-Wallet Payment Group Limited,310000,-0.71761,2743729920,0.111,0.48611107,0.5645161
0803.HK,Basic Materials,Steel,Prosperity International Holdings (H.K.) Limited,20000,-0.8571,1343650048,0.119,,
0804.HK,Financial Services,Capital Markets,Pinestone Capital Limited,300000,-0.12475,4710490112,0.14,,2.5
